pillar,model,processed_cv
SigLIP-Advanced,cat_seed0,0.771309
SigLIP-Advanced,svr_seed0,0.801683
SigLIP-Advanced,xgb_seed0,0.766076
SigLIP-Advanced,bayes_ridge,0.764521
SigLIP-Advanced,elastic_net,0.721994
SigLIP-Advanced,extra_trees,0.757759
SigLIP-Advanced,xgb_seed1,0.763642
SigLIP-Advanced,svr_seed1,0.801683
SigLIP-Advanced,cat_seed1,0.776455
SigLIP-Advanced,ridge_seed0,0.755891
SigLIP-Advanced,ridge_seed1,0.755052
SigLIP-Advanced,elastic_net_seed1,0.729744
SigLIP-Advanced,ridge_meta,0.843767
SigLIP-Legacy,gb,0.732094
SigLIP-Legacy,hgb,0.738941
SigLIP-Legacy,cat,0.764357
SigLIP-Legacy,lgbm,0.735742
Dinov2-L,dinov2_cat,0.67909
Dinov2-L,dinov2_xgb,0.66064
Dinov2-L,dinov2_lgbm,0.661364
Dinov2-L,dinov2_lasso,0.608256
Dinov2-L,dinov2_ridge_meta,0.709063
Dinov2-L,dinov2_blended,0.707405
